department	course_number	crn	title	instructors	credits	days	time	location	quarter
PHPM	614-0	31134	Epidemiology III	Lambert, William	4	T,R	1300-1450	Check SIS	Spring 2018
PHPM	650-LM	31124	Mentored Epi Research	Marshall, Lynn	1-6	N/A	Check SIS	OHSU Campus	Spring 2018
PHPM	660-LM	31125	Mentored Epi Teaching	Marshall, Lynn	1	N/A	Check SIS	OHSU Campus	Spring 2018
BSTA	500	1069	Reading & Research Biostat	Fu, Rochelle	1-3	By Arrangement	Check SIS	OHSU Campus	Summer 2018
BSTA	503	1070	Thesis	Fu, Rochelle	1-3	By Arrangement	Check SIS	OHSU Campus	Summer 2018
BSTA	507	1101	Field Experience	Park, Byung	3-6	By Arrangement	Check SIS	OHSU Campus	Summer 2018
BSTA	510	1065	Biostatistics Lab	Choi, Dongseok	3	By Arrangement	Check SIS	OHSU Campus	Summer 2018
BSTA	517	1077	Stat Methods Clinical Trials	Chen, Yiyi	3	OHSU Online	Course meets August 6 - Sept. 7.		Summer 2018
BSTA	525	2092	Introduction to Biostatistics	Lin, Amber	4	OHSU Online	Course meets 11-weeks		Summer 2018
BSTA	500	21802	Reading & Research Biostat	Fu, Rochelle	1-3	By arrangement	Check SIS	OHSU Campus	Winter 2019
BSTA	507	21804	Field Experience	Park, Byung	1-6	By arrangement	Check SIS	OHSU Campus	Winter 2019
BSTA	510	21805	Biostatistics Lab	Choi, Dongseok	3	By arrangement	Check SIS	OHSU Campus	Winter 2019
BSTA	512	21806	Linear Models	Nguyen, Thuan	4	M, W	1300-1450	Check SIS	Winter 2019
BSTA	514	21808	Survival Analysis	Lapidus, Jodi	3	T, R	1715-1830	Check SIS	Winter 2019
BSTA	522	21809	Statistical Learning/Big Data	Choi, Dongseok	3	T	0900-1145	Check SIS	Winter 2019
BSTA	525	21811	Intro to Biostatistics	Srikanth, Priya	4	M, W	1400-1550	Check SIS	Winter 2019
BSTA	551	21810	Mathematical Statistics I	Yanez, David	3	M, W	1030-1200	Check SIS	Winter 2019
BSTA	612	21807	Linear Models	Nguyen, Thuan	4	M, W	1300-1450	Check SIS	Winter 2019
UNI	504	21826	Qualitative Methods/Health Pro	Marriott, Lisa	2	T	1500-1640	Check Banweb	Winter 2019
