crn	department	course_number	title	instructors	credits	time	days	campus	quarter
31540	BMI	610-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Spring 18
31541	BMI	612-DL	Clinical Information Systems	Mohan, Vishnu	3	Online	Online	Online	Spring 18
31546	BMI	617-DL	Organization Behavior & Mgmt	Valerius, Joanne	3	Online	Online	Online	Spring 18
31547	BMI	637-DL	Healthcare Quality	Dorr, David	3	Online	Online	Online	Spring 18
31549	BMI	646-0	Software Engineering	Cohen, Aaron	3	0900-1025	W, F	Portland	Spring 18
32011	BMI	652B-0	Research Methods/Bioinformatic	Boudreau, Eilis	2	1030-1250	F	Portland	Spring 18
31567	BMI	653-0	Readings in Bioinformatics	Karstens, Lisa	1	1230-1330	T	Portland	Spring 18
32009	BMI	676-DL	Ethical/Legal/Social Issue BMI	Valerius, Joanne	3	Online	Online	Online	Spring 18
31912	CANB	606-0	Mechanisms/Cancer Jrl Club	Dai\Qian	1-8	1200-1300	Th	Portland	Spring 18
32090	CANB	606A-0	Tumor Microenvironment JC	Lund, Amanda	1	0900-1000	W	Portland	Spring 18
31913	CANB	607-0	Cancer Biology Seminar Series	Lund\Oshimori	1	1600-1700	M	Portland	Spring 18
31914	CANB	616-0	Adv Topics: Cancer Biology	Heiser\Korkola\Alumkal	4	1330-1455	M,W,F	Portland	Spring 18
31693	CELL	606-0	Cell & Biology Journal Club	Nechiporuk, Alex	1	0900-1000	T	Portland	Spring 18
31695	CELL	607A-0	Departmental Seminar Series	Lund\Oshimori	1	1600-1700	M	Portland	Spring 18
31696	CELL	616-0	Adv Topics: Cancer Biology	Heiser\Korkola\Alumkal	4	1330-1455	M,W,F	Portland	Spring 18
31647	CONJ	601-0	Research PMCB	Duvoisin, Robert	1-16	TBA	TBA	Portland	Spring 18
32128	CONJ	601-MD	MD/PhD Research	Jacoby, David	1-16	TBA	TBA	Portland	Spring 18
32055	CONJ	606CL-0	CLSB Journal Club	Beatty, Kimberly	1	1500-1600	M	Portland	Spring 18
32084	CONJ	606MD-0	MD/PhD Journal Club	Jacoby, David	.5	1200-1300	W	Portland	Spring 18
32139	CONJ	607-0	Ethics Seminar	Williams, John	.5	1700-1800	T	Portland	Spring 18
32056	RCR	001-0	Ethics Seminar Post Docs	Williams, John	.5	1700-1800	T	Portland	Spring 18
31649	CONJ	607E-0	PMCB Seminar	Duvoisin, Robert	1	1200-1330	M	Portland	Spring 18
31650	CONJ	665-0	Devl/Differentiation & Disease	Qian\Courtneidge	3	1015-1145	T, Th	Portland	Spring 18
31651	CONJ	667-0	Organ Systems	McCormick\Morgans	3	0830-0950	T, Th	Portland	Spring 18
31652	CONJ	668-0	Mol. Biophys & Exp. Bioinf.	Shinde\Farrens	3	1030-1125	M,W,F	Portland	Spring 18
31653	CONJ	669-0	Principles of Chemical Biology	Valiyaveetil\Xiao	3	1600-1700	M,W,F	Portland	Spring 18
32039	CS	559-0	Machine Learning	Song, Xubo	3	1400-1530	T, Th	Portland	Spring 18
32176	CS	631-0	Princ/Prac Data Visualization	Bedrick\Wirz	3	1200-1330	M,W	Portland	Spring 18
32040	CS	659-0	Machine Learning	Song, Xubo	3	1400-1530	T, Th	Portland	Spring 18
31577	EBS	501-HMS	M.S. Nonthesis Research	Simon, Holly	1-16	TBA	TBA	Portland	Spring 18
32041	EE	559-0	Machine Learning	Song, Xubo	3	1400-1530	T, Th	Portland	Spring 18
32177	EE	658-0	Speech Signal Processing	Kain, Alexander	3	1400-1530	M,W	Portland	Spring 18
32042	EE	659-0	Machine Learning	Song, Xubo	3	1400-1530	T, Th	Portland	Spring 18
31677	MBIM	605C-0	Immunology Journal Club	Davey, Michael	1	0830-0930	Th	Portland	Spring 18
31678	MBIM	605E-0	Virology Jrnl Club-Primate Ctr	Streblow, Daniel	1	1200-1255	T	Portland	Spring 18
31679	MBIM	605F-0	Micro/Path Mole/Genetics JC	Purdy, Georgiana	2	1600-1700	W	Portland	Spring 18
31680	MBIM	607-0	Departmental Seminar Series	Lind, Evan	1	1200-1300	M	Portland	Spring 18
31682	MBIM	612-0	Advanced Immunology	Nolz, Jeffrey	4	1400-1600	W,F	Portland	Spring 18
31894	MGEN	605E-0	Molecular/Medical Genetics JC	Moore, Stephen	1-8	1015-1115	Th	Portland	Spring 18
31895	MGEN	605F-0	Mechanisms/Cancer Jrnl Club	Dai\Lopez	1-8	1200-1300	T	Portland	Spring 18
31896	MGEN	607A-0	Departmental Seminar Series	Gillingham, Melanie	1	1200-1300	M	Portland	Spring 18
31898	MGEN	611-0	Departmental Grand Rounds	Zonana, Jon	1	0900-1000	Th	Portland	Spring 18
32215	MGRD	627-0	Research Methods-Data/Info Literacy	Wyatt, Letisha	3	1430-1600	M, W	Portland	Spring 18
31644	MGT	520-HY	Becoming an Effective Manager	Steckler\Huntzicker	4	1600-2100	F	Portland	Spring 18
32038	MGT	537-0	Managing in the Real World	Huntzicker, James	1	Online	Online	Online	Spring 18
31642	MGT	554-HY	Capstone Proj in Healthcare II	Sakaguchi\Kinder	3	1600-2100	F	Portland	Spring 18
31643	MGT	563-HY	Reg & Legislation of H/C Del	Kinder\Bonder	4	0915-1400	Sat	Portland	Spring 18
31645	MGT	572-HY	Financial Mgmt in Healthcare	Granholm, Gudrun	4	Varies	Sat	Portland	Spring 18
32058	MP	507-0	Seminar: Diagnostic Imaging	Griglock\DeWeese	1	1510-1600	T	Portland	Spring 18
32059	MP	535-0	Rad Shield/External Dosimetry	Voss, Shannon	4	1600-1800	M,W	Portland	Spring 18
32065	MP	537-0	Shielding/Medical Physicists	Tack\Griglock	3	0900-1200	W	Portland	Spring 18
32060	MP	542-0	Diagnostic Imaging Physics II	Griglock\DeWeese	3	1345-1500	T, Th	Portland	Spring 18
32061	MP	562-0	Radiation Therapy Physics II	Tanyi, James	3	1000-1130	M	Portland	Spring 18
31867	NEUS	606-0	Cell Neuroscience JC	Westbrook, Gary	1	0900-1000	T	Portland	Spring 18
31868	NEUS	606-01	OHRC Journal Club	Brigande, John	1	1600-1700	T	Portland	Spring 18
31869	NEUS	606-02	Glial Cell Journal Club	Robinson, Fred	1	1005-1100	T	Portland	Spring 18
31870	NEUS	606-03	Outreach Journal Club	Westbrook, Gary	1	TBA	TBA	Portland	Spring 18
32073	NEUS	606-05	Systems JC	David, Stephen	1	TBA	TBA	Portland	Spring 18
32116	NEUS	606-06	EM Study Group JC	Gouaux, Eric	1	1200-1400	W	Portland	Spring 18
31872	NEUS	607-0	Vollum Seminar: Neuroscience	Nicolson, Teresa	2	0900-0955	Th	Portland	Spring 18
31874	NEUS	626-0	Neurobiology of Disease	Unni, Vivek	3	1000-1130	T, Th	Portland	Spring 18
32219	NEUS	641-0	G-Protein Coupled Receptors	Williams, John	2	1500-1700	W	Portland	Spring 18
31315	NUTN	504-0	Supervised Practice Rotation	Jackson, Alexandra	6	0800-1630	T-F	Portland	Spring 18
31318	NUTN	512-0	Adv Path/Medical Nutn Therapy	McGuire, Julie	3	0900-1200	M	Portland	Spring 18
31319	NUTN	515-0	Case Studies/Adv Med Nutn Ther	Pavlinac, Jessie	2	TBA	TBA	Portland	Spring 18
32185	NUTN	516A-0	Nutrition Physical Exam	McGuire, Julie	2	1000-1200	T	Portland	Spring 18
32186	NUTN	516B-0	Nutrition Physical Exam Lab	McGuire, Julie	1	TBA	TBA	Portland	Spring 18
32057	NUTN	528-0	I-CAN Nutrition	McGuire, Julie	1	Varies	Varies	Portland	Spring 18
32184	NUTN	533-0	Nutritional Genomics	Hansen, Joyanna	2	1300-1500	M	Portland	Spring 18
32216	PHPH	523-0	Overview/Development Prog Hlth/Disease	Maloyan\Thornburg\Boone-Heinonen	1	1330-1430	T	Portland	Spring 18
31927	PHPH	606-0	PHPH Journal Club	Cohen, Michael	1	1600-1700	T	Portland	Spring 18
32018	PHPH	606-01	Neuro/Behav JC	Kelly, Martin	1	1030-1130	M	Portland	Spring 18
31928	PHPH	607-0	Departmental Seminar Series	Duvoisin, Robert	1	1600-1700	Th	Portland	Spring 18
32217	PHPH	623-0	Overview/Development Prog Hlth/Disease	Maloyan\Thornburg\Boone-Heinonen	1	1330-1430	T	Portland	Spring 18
32104	PHPH	640-0	Professional Develop Fund	Jacoby, David	1	1500-1630	T	Portland	Spring 18
11546	BCMB	605A-0	Protein/Structure/Function JC	Shinde\Farrens	1	1600-1700	W	Portland	Fall 18
11548	BCMB	607A-0	Department Seminar Series	Hoatlin, Maureen	1	1200-1300	M	Portland	Fall 18
12556	BEHN	610NN-0	Resch Neurobiology/Addiction	Ozburn\Cuzon Carlson	0.5	TBA	TBA	Portland	Fall 18
12202	BEHN	624-0	Neurophysiology/Behavior	Allen\Heinricher	3			Portland	Fall 18
12203	BEHN	640-0	Sys/Behavioral Neuroscience	Lattal, Matt	5	TBA	TBA	Portland	Fall 18
12554	BME-605-0	NA	Readings in Biomedical Eng	Hinds, Monica	1	1030-1130	F	Portland	Fall 18
11887	BME	607-0	Biomedical Engineering Seminar	Nellore\Heiser	0	1200-1300	F	Portland	Fall 18
12216	BME	608-0	Grant Writing & Qualifier Prep	Hinds, Monica	1	1500-1600	Th	Portland	Fall 18
12112	BMI	505F-0	Reading and Conference-Fellows	Eden\McWeeney	1-5	1245-1345	Th	Portland	Fall 18
11641	BMI	510-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Fall 18
11642	BMI	512-DL	Clinical Information Systems	Mohan, Vishnu	3	Online	Online	Online	Fall 18
11644	BMI	517-DL	Organization Behavior & Mgmt	Valerius, Joanne	3	Online	Online	Online	Fall 18
11783	BMI	523-DL	Clinical Research Informatics	Schuff\Weiskopf	3	Online	Online	Online	Fall 18
11646	BMI	530-DL	The Practice of Health Care	Chase, Dian	3	Online	Online	Online	Fall 18
11648	BMI	540-DL	Comp Science/Prog Clin Inform	Hribar, Michelle	3	Online	Online	Online	Fall 18
11649	BMI	550-0	Bio/Comp Biomed I: Algorithms	Zheng, Christina	4	1200-1330	M,W	Portland	Fall 18
11650	BMI	559-0	Computational Genetics	McWeeney, Shannon	3	1030-1155	T	Portland	Fall 18
11651	BMI	565-0	Bioinfo Programming/Scripting	Mooney, Michael	3	0900-1025	T, Th	Portland	Fall 18
11652	BMI	570-DL	Scientific Writing for Inform	Pyle, Kathryn	3	Online	Online	Online	Fall 18
12381	BMI	576-DL	Managing Ethics Biomed Informa	Valerius, Joanne	3	Online	Online	Online	Fall 18
12113	BMI	605F-0	Reading and Conference-Fellows	Eden\McWeeney	1-6	1245-1345	Th	Portland	Fall 18
11745	BMI	610-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Fall 18
11746	BMI	612-DL	Clinical Information Systems	Mohan, Vishnu	3	Online	Online	Online	Fall 18
11747	BMI	617-DL	Organization Behavior & Mgmt	Valerius, Joanne	3	Online	Online	Online	Fall 18
11784	BMI	623-DL	Clinical Research Informatics	Schuff\Weiskopf	3	Online	Online	Online	Fall 18
11749	BMI	630-DL	The Practice of Health Care	Chase, Dian	3	Online	Online	Online	Fall 18
11751	BMI	640-DL	Comp Science/Prog Clin Inform	Hribar, Michelle	3	Online	Online	Online	Fall 18
11752	BMI	650-0	Bio/Comp Biomed I: Algorithms	Zheng, Christina	4	1200-1330	M,W	Portland	Fall 18
11777	BMI	659-0	Computational Genetics	McWeeney, Shannon	3	1030-1155	T	Portland	Fall 18
11778	BMI	665-0	Bioinfo Programming/Scripting	Mooney, Michael	3	0900-1025	T, Th	Portland	Fall 18
11779	BMI	670-DL	Scientific Writing for Inform	Pyle, Kathryn	3	Online	Online	Online	Fall 18
12382	BMI	676-DL	Managing Ethics Biomed Informa	Valerius, Joanne	3	Online	Online	Online	Fall 18
11501	CANB	606-0	Mechanisms/Cancer Jrl Club	Qian\Agarwal	1	1200-1300	T	Portland	Fall 18
12114	CANB	606A-0	Tumor Microenvironment JC	Lund, Amanda	1	0900-1000	W	Portland	Fall 18
11502	CANB	607-0	Cancer Biology Seminar Series	Lund\Sherman\Oshimori	1	1600-1700	M	Portland	Fall 18
11447	CELL	606-0	Cell/Develop Biology JC	Nechiporuk, Alex	1	0900-1000	T	Portland	Fall 18
11995	CELL	607A-0	Departmental Seminar Series	Lund\Sherman\Oshimori	1	1600-1700	M	Portland	Fall 18
12198	CONJ	606-0	PMCB Journal Club	Hoatlin, Maureen	3	1400-1600	T, Th	Portland	Fall 18
12107	CONJ	606MD-0	MD/PhD Journal Club	Jacoby, David	.5	1200-1300	W	Portland	Fall 18
12395	CONJ	606RL-0	RLSB Journal Club	Beatty\Korkola	1	1500-1600	T	Portland	Fall 18
11519	CONJ	607-0	Ethics Seminar	Williams, John	.5	1700-1800	T	Portland	Fall 18
11521	CONJ	650-0	Practice and Ethics of Science	Schnapp\Duvoisin	1	1600-1800	T	Portland	Fall 18
11522	CONJ	661-0	Structure & Funct. of Bio Mol.	Farrens\Shinde	3	1030-1200	M-Th	Portland	Fall 18
11523	CONJ	662-0	Genetic Mechanisms	Dai\Moore	3	0830-1000	M-Th	Portland	Fall 18
12199	CONJ	663-0	Bioregulation	Impey\Heiser	3	1030-1200	M-Th	Portland	Fall 18
12200	CONJ	664-0	Molecular Cell Biology	Musil\Farrens	3	0830-1000	M-Th	Portland	Fall 18
11969	CONJ	670-0	Foundations/Measurement Scienc	Nan\Chang	3	1630-1800	M, W	Portland	Fall 18
12201	CONJ	671-0	Analysis/Quantitative Bioscien	Ellrott\Zuckerman	3	1500-1625	M, W	Portland	Fall 18
12126	CS	555-0	Analyzing Sequences	Asgari, Meysam	3	1600-1730	T, Th	Portland	Fall 18
12363	CS	560-0	Artificial Intelligence	Heeman, Peter	3	1600-1730	M,W	Portland	Fall 18
12185	CS	623-0	Deep Learning	Asgari, Meysam	3	1400-1530	M,W	Portland	Fall 18
12127	CS	655-0	Analyzing Sequences	Asgari, Meysam	3	1600-1730	T,Th	Portland	Fall 18
12364	CS	660-0	Artificial Intelligence	Heeman, Peter	3	1600-1730	M,W	Portland	Fall 18
12043	EBS	605A-0	Reading Grp: Env & Biomol Sys	Tratnyek, Paul	2	TBA	TBA	Portland	Fall 18
12128	EE	555-0	Analyzing Sequences	Asgari, Meysam	3	1600-1730	T,Th	Portland	Fall 18
12186	EE	623-0	Deep Learning	Asgari, Meysam	3	1400-1530	M,W	Portland	Fall 18
12129	EE	655-0	Analyzing Sequences	Asgari, Meysam	3	1600-1730	T,Th	Portland	Fall 18
12044	MATH	530-0	Probability and Stat Inference	Hill, Alison	3	1400-1530	T,Th	Portland	Fall 18
12045	MATH	630-0	Probability and Stat Inference	Hill, Alison	3	1400-1530	T,Th	Portland	Fall 18
11471	MBIM	605B-0	Virology Journal Club	Streblow, Daniel	1	1230-1330	T	Portland	Fall 18
11472	MBIM	605C-0	Immunology Journal Club	Davey, Michael	1	0830-0930	Th	Portland	Fall 18
11473	MBIM	605F-0	Micro/Path Mole/Genetics JC	Purdy, Georgiana	2	1600-1700	W	Portland	Fall 18
11474	MBIM	607-0	Department Seminar	Nice, Tim	1	1200-1300	M	Portland	Fall 18
11485	MGEN	605E-0	Molecular/Medical Genetics JC	Moore, Stephen	1	1030-1130	Th	Portland	Fall 18
11486	MGEN	606-0	Mechanisms Cancer JC	Qian\Agarwal	1-8	1200-1300	T	Portland	Fall 18
11487	MGEN	607A-0	Departmental Seminar Series	Gillingham, Melanie	1	1200-1300	M,W	Portland	Fall 18
11488	MGEN	611-0	Departmental Grand Rounds	Zonana, Jon	1	0900-1000	Th	Portland	Fall 18
11489	MGEN	622-0	Eukaryotic Genetics	Richards, Sue	3	1500-1600	M,W,F	Portland	Fall 18
12323	MGRD	628-0	Teaching Practicum/Assistantship	Ryabinin, Andrey	3	TBA	TBA	Portland	Fall 18
11879	MGT	519-HY	Project Mgmt in Healthcare	Sakaguchi, Ronald	4	TBA	TBA	Portland	Fall 18
12130	MGT	522-HY	Influencing Change in Orgs	Kinder\Cardi	3	TBA	TBA	Portland	Fall 18
12039	MGT	535-HY	Career Management	Seemann, Rob	1	TBA	TBA	Portland	Fall 18
12365	MGT	536-HY	Career Conversations	Walter, Jessica	1		Online	Online	Fall 18
11880	MGT	561-HY	Financial Accounting for H/C	Granholm, Gudrun	4	TBA	TBA	Portland	Fall 18
11881	MGT	569-HY	Healthcare Marketing	Sakaguchi, Ronald	4	TBA	TBA	Portland	Fall 18
12051	MP	507-0	Seminar-Matriculation	Tack, Krystina	1	1400-1500	T	Portland	Fall 18
12052	MP	521-0	Radiological A/P	Tack, Krystina	4	0900-1100	T	Portland	Fall 18
12053	MP	531-0	Radiophysics	Voss, Shannon	3	1200-1330	W,Th	Portland	Fall 18
12383	MP	537-0	Shielding/Medical Physicists	Tack\Pugachev\Griglock	3	1100-1400	T	Portland	Fall 18
12125	MP	543-0	Adv Diagnostic Imaging Phys	Griglock, Thomas	3	1400-1700	T	Portland	Fall 18
12124	MP	563-0	Appl'd Rad Therapy Phys Lab I	Tack\Pugachev	3	0900-1200	M	Portland	Fall 18
12197	MP	637-0	Shielding/Medical Physicists	Tack, Krystina	3	1100-1400	T	Portland	Fall 18
11379	NEUS	606-0	Cell Neuroscience JC	Jackman, Skyler	1	TBA	TBA	Portland	Fall 18
11380	NEUS	606-01	Neuophy/Hormon Behav JC	Kelly, Martin	1	1000-1130	M	Portland	Fall 18
11381	NEUS	606-02	Hearing/Research Ctr JC	Trussell, Laurence	1	1600-1700	T	Portland	Fall 18
11382	NEUS	606-03	Glial Cell JC	Robinson, Fred	1	TBA	TBA	Portland	Fall 18
11894	NEUS	606-04	Systems Neuroscience JC	David, Stephen	1	TBA	TBA	Portland	Fall 18
12078	NEUS	606-05	EM Study Group JC	Gouaux, Eric	1	1330-1430	F	Portland	Fall 18
11383	NEUS	607-0	Vollum Seminar: Neuroscience	Westbrook, Gary	2	1000-1130	Th	Portland	Fall 18
11384	NEUS	624-0	Cellular Neurophysiology	Williams, John	4	TBA	TBA	Portland	Fall 18
12027	NEUS	625-0	Cell/Molecular Neurobiology	Copenhaver\Stork	4	TBA	TBA	Portland	Fall 18
12028	NEUS	627-0	Systems Neuroscience	von Gersdorff\David	4	TBA	TBA	Portland	Fall 18
12372	NEUS	642-0	Python Program Exptl Neurosci	David\Buran	2	1300-1500	T	Portland	Fall 18
12054	NUTN	500-0	Community Outreach Project	DeFrancesco, Carol	1	TBA	TBA	Portland	Fall 18
11505	NUTN	504-0	Supervised Practice Rotation	Jackson, Alexandra	6	0800-1555	T-F	Portland	Fall 18
11507	NUTN	510-0	Public Health Nutrition	Finn, Jeri	3	0900-1200	M	Portland	Fall 18
12192	NUTN	513B-0	Food Service/Clinical Manage	Connell, Bert	1	1300-1500	M	Portland	Fall 18
11508	NUTN	522-0	Antioxidants/Bone/Protein Meta	Hansen, Joyanna	3	1330-1500	W,F	Portland	Fall 18
12193	NUTN	528-0	I-CAN Nutrition	McGuire, Julie	1	TBA	TBA	Portland	Fall 18
12390	NUTN	535-0	Oncology Nutrition	McGuire, Julie	2	1530-1730	M	Portland	Fall 18
12391	NUTN	635-0	Oncology Nutrition	Stadler, Diane	2	1530-1730	M	Portland	Fall 18
12393	PHYS	510A-HN	Advanced Human Physiology	Cameron, William	3	0900-1200	T	Portland	Fall 18
11535	PHPH	606-0	PHPH Journal Club	Cohen, Michael	1	1600-1655	T	Portland	Fall 18
11996	PHPH	606-01	Neuro/Behav JC	Kelly, Martin	.5	1030-1130	M	Portland	Fall 18
11536	PHPH	607-0	Departmental Seminar	Duvoisin, Robert	1	1600-1700	Th	Portland	Fall 18
12077	PHPH	610NN-0	Host Defense/Lung Cancer	Lewinsohn\Slatore	.5	1300-1500	W	Portland	Fall 18
11538	PHPH	617-0	Pharmacokinetics	Duvoisin, Robert	2	1100-1200	T Th	Portland	Fall 18
11524	RCR	001-0	Sem: Ethics in Research-PDF	Williams, John	.5	1700-1800	T	Portland	Fall 18
11525	RCR	002-0	Practice/Ethics of Science-PDF	Schnapp\Duvoisin	1	1600-1800	T	Portland	Fall 18
1992	BME	607-0	Biomedical Engineering Seminar	Hinds, Monica	0	1100-1200	F	Portland	Summer 18
1268	BMI	510-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Summer 18
1761	BMI	517-HY	Organization Behavior & Mgmt	Ash\Valerius	3	0900-1400	T-F	Portland	Summer 18
2085	BMI	518-DL	Project Management	McCormack, James	3	Online	Online	Online	Summer 18
1558	BMI	519-DL	Bus of Healthcare Informatics	Valerius\Mohan	3	Online	Online	Online	Summer 18
1271	BMI	521-DL	Public Health Informatics	Magnuson, J	3	Online	Online	Online	Summer 18
1763	BMI	548-HY	Human Compu Interaction Biomed	Hribar\Chiang	3	0900-1600	Th-M	Portland	Summer 18
1446	BMI	561-HY	Qualitative Research Methods	Ash\Valerius	3	0900-1400	T-F	Portland	Summer 18
1902	BMI	569-HY	Data Analytics	Laderas\McWeeney	3	0900-1400	M-Th	Portland	Summer 18
1350	BMI	610-DL	Intro to Biomed Informatics	Hersh, Bill	3	Online	Online	Online	Summer 18
1762	BMI	617-HY	Organization Behavior & Mgmt	Ash\Valerius	3	0900-1400	T-F	Portland	Summer 18
2087	BMI	618-DL	Project Management	McCormack, James	3	Online	Online	Online	Summer 18
1765	BMI	619-DL	Bus of Healthcare Informatics	Valerius\Mohan	3	Online	Online	Online	Summer 18
1353	BMI	621-DL	Public Health Informatics	Magnuson, J	3	Online	Online	Online	Summer 18
1764	BMI	648-HY	Human Compu Interaction Biomed	Hribar\Chiang	3	0900-1600	Th-M	Portland	Summer 18
1447	BMI	661-HY	Qualitative Research Methods	Ash\Valerius	3	0900-1400	T-F	Portland	Summer 18
1903	BMI	669-HY	Data Analytics	Laderas\McWeeney	3	0900-1400	M-Th	Portland	Summer 18
2089	CANB	610NN-0	Secret Life non-coding RNAs	Anand\Thayer\Espinosa	.5	1000-1200	T-Th	Portland	Summer 18
2091	CELL	610NN-0	Secret Life Non-Coding RNAs	Anand\Thayer\Espinosa	.5	1000-1200	T-Th	Portland	Summer 18
1165	CONJ	601-0	Research PMCB	Duvoisin, Robert	1-16	TBA	TBA	Portland	Summer 18
1635	CONJ	601-MD6	MD/PhD Research (MS1 & MS2) A	Jacoby, David	5	TBA	TBA	Portland	Summer 18
1910	CONJ	606MD-0	MD/PhD Journal Club	Jacoby, David	.5	1200-1300	W	Portland	Summer 18
2040	CONJ	620-0	Introd Biostatistics/Basic Sci	Hill, Alison	3	TBA	T, Th	Portland	Summer 18
2042	CS	532-0	Analy & Design of Algorithms	Heeman, Peter	3	1600-1730	M,W	Portland	Summer 18
2043	CS	632-0	Analy & Design of Algorithms	Heeman, Peter	3	1600-1730	M,W,	Portland	Summer 18
2054	EBS	605A-0	Reading Grp: Env & Biomol Sys	Tratnyek, Paul	2	1500-1630	T	Portland	Summer 18
1386	MBIM	605B-0	Virology Journal Club	Streblow, Daniel	1	1200-1255	T	Portland	Summer 18
1387	MBIM	605C-0	Immunology Journal Club	Davey, Michael	1	0830-0930	Th	Portland	Summer 18
1388	MBIM	605F-0	Micro/Path Mole/Genetics JC	Purdy, Georgiana	2	1600-1700	W	Portland	Summer 18
1455	MGT	564-HY	Bus Planning & Strategy in H/C	Schulz\Othus	4		F	Portland	Summer 18
1456	MGT	590-DL	Effective Business Writing	Buratti, Brenda	1	Online	Online	Online	Summer 18
1913	MP	536-0	Adv Rad Detection/Measurement	Tack, Krystina	4	0800-1600	M-F	Portland	Summer 18
1912	MP	545-0	Diagnostic Imag Phy Practicum	Griglock, Thomas	3		M-F	Portland	Summer 18
1911	MP	565-0	Rad Therapy Phys Practicum	Tack, Krystina	3		M-F	Portland	Summer 18
1772	NEUS	606-0	Summer Fellows JC	Westbrook, Gary	1	TBA	TBA	Portland	Summer 18
1732	NEUS	630-0	Fluor/Micro/Toolbox/Cell Biol	Kaech-Petrie, Stefanie	1	0900-1100	M-F	Portland	Summer 18
1695	NUTN	504-0	Supervised Practice Rotation	Jackson\Finn	3	0800-1700	T-F	Portland	Summer 18
2000	NUTN	513A-0	Food Service/Clinical Manage	Connell, Bert	1	0900-1200	M	Portland	Summer 18
2001	NUTN	514A-0	Nutn Research/Scientifi Commun	Stadler, Diane	1	1300-1600	M	Portland	Summer 18
1439	NUTN	517-0	Laboratory Methods in NUTN	Gillingham, Melanie	3	0930-1100	M-Th	Portland	Summer 18
1440	NUTN	521-0	Energy Metabolism	van Calcar, Sandra	3	1200-1330	M, Th	Portland	Summer 18
21203	BCMB	605A-0	Protein Structure/Function JC	Shinde\Farrens	1	1300-1355	W	Portland	Winter 19
21205	BCMB	607A-0	Department Seminar Series	Hoatlin, Maureen	1	1200-1255	M	Portland	Winter 19
21574	BEHN	606-0	JC: Computational/Theoretical NS	Moghaddam\David	1	1500	1630	Portland	Winter 19
21732	BEHN	607A-0	Issues Behavior Neuroscience	Grant, Kathleen	1	1600-1700	W	Portland	Winter 19
21914	BEHN	626-0	Behavioral Psychopharmacology	Finn\Eshleman	3	1430-1600	M,W,F	Portland	Winter 19
21044	BEHN	650-0	BEHN Teaching Practicum	Griesar, William	1	TBA	TBA	Portland	Winter 19
21455	BME	607-0	Biomedical Engineering Seminar	Nellore\Heiser	0	1100-1200	F	Portland	Winter 19
22040	BME	640-0	Fluid Mechanics/Biotransport	Rugonyi, Sandra	3	1230-1400	T,Th	Portland	Winter 19
